Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
3.326,Terrain,185516,None,True,238.9554:-0.004999995:419.6188:0:-0.5901739:0:0.8072761,239.3038:-0.0299978:403.4927:-0.0007748489:-0.01080253:-8.370817E-06:0.9999413,238.1141:0.1115839:403.7122:0.003658169:0.02641546:-9.66666E-05:0.9996443,254.1505:0.1115837:406.1739:0.002619521:-0.4106929:0.001179924:0.9117692,219.1169:0.1115837:408.9374:0.002221068:0.5127996:-0.001326682:0.8585045,223.4755:0.1115839:396.552:0.002007395:0.2912448:-0.0006111386:0.9566463,239.0525:0.1115837:392.0285:0.002112738:-0.001759515:3.717409E-06:0.9999962
3.389,Terrain,185516,None,True,239.0937:-0.005000114:419.9831:0:-0.4830185:0:0.8756101,239.304:-0.02999768:403.4931:-0.0007578868:-0.006378903:-4.834586E-06:0.9999794,238.1141:0.1115839:403.7122:0.003574431:0.0300599:-0.0001074963:0.9995417,254.1505:0.1115837:406.1739:0.002611783:-0.4025437:0.001148526:0.9153964,219.1169:0.1115837:408.9374:0.002199566:0.5079927:-0.001297212:0.8613576,223.4755:0.1115839:396.552:0.001981273:0.2897469:-0.0005997982:0.9571011,239.0525:0.1115837:392.0285:0.002085222:0.0007368854:-1.536573E-06:0.9999976
3.456,Terrain,185516,None,True,239.2426:-0.004999995:420.3754:0:-0.3841251:0:0.9232811,239.3042:-0.02999717:403.4935:-0.000740345:-0.001823512:-1.35003E-06:0.9999981,238.1141:0.1115839:403.7122:0.003488175:0.03380346:-0.0001179805:0.9994224,254.1505:0.1115837:406.1739:0.00260227:-0.3938591:0.001115062:0.9191665,219.1169:0.1115837:408.9374:0.002176446:0.5029367:-0.001266446:0.8643196,223.4755:0.1115839:396.552:0.001953855:0.2881773:-0.0005880027:0.9575749,239.0525:0.1115837:392.0285:0.002056302:0.003354005:-6.896901E-06:0.9999923
3.521,Terrain,185516,None,True,239.4585:-0.005000055:420.9154:0:-0.2633167:0:0.9647095,239.3044:-0.0299964:403.4935:-0.0007173457:0.004424164:3.173687E-06:0.99999,238.1141:0.1115839:403.7122:0.003375496:0.03898476:-0.0001316938:0.9992341,254.1505:0.1115837:406.1739:0.002588465:-0.3819026:0.001069621:0.9241984,219.1169:0.1115837:408.9374:0.002143764:0.4962799:-0.001225475:0.8681591,223.4755:0.1115839:396.552:0.001916817:0.2862381:-0.0005726269:0.9581565,239.0525:0.1115837:392.0285:0.002017671:0.007028023:-1.418062E-05:0.9999733
3.591,Terrain,185516,None,True,239.6691:-0.004999995:421.3026:0:-0.1680305:0:0.9857818,239.3043:-0.02999759:403.4938:-0.0007016502:0.01024032:7.185498E-06:0.9999473,238.1141:0.1115839:403.7122:0.003297712:0.04406957:-0.0001454709:0.999023,254.1505:0.1115837:406.1739:0.002583005:-0.372562:0.001036989:0.9280031,219.1169:0.1115837:408.9374:0.002115573:0.4921702:-0.001196126:0.8704956,223.4755:0.1115839:396.552:0.001888699:0.2856498:-0.0005629639:0.9583321,239.0525:0.1115837:392.0285:0.001990681:0.01052986:-2.096279E-05:0.9999426
3.655,Terrain,185516,None,True,239.9343:-0.005000055:421.6546:0:-0.07360968:0:0.9972872,239.3045:-0.02999663:403.4942:-0.0006876982:0.01733226:1.192116E-05:0.9998496,238.1141:0.1115839:403.7122:0.003228063:0.05052705:-0.0001633139:0.9987175,254.1505:0.1115837:406.1739:0.002584293:-0.3629384:0.001006579:0.931809,219.1169:0.1115837:408.9374:0.002084045:0.489225:-0.001169021:0.8721544,223.4755:0.1115839:396.552:0.001860758:0.2861157:-0.0005556211:0.9581931,239.0525:0.1115837:392.0285:0.001966486:0.01487727:-2.925923E-05:0.9998874
3.733,Terrain,185516,None,True,240.3661:-0.005000055:422.051:0:0.04986537:0:0.9987559,239.3045:-0.02999762:403.4948:-0.0006721895:0.02857161:1.921339E-05:0.9995915,238.1141:0.1115839:403.7122:0.003148975:0.06105637:-0.0001926253:0.9981294,254.1505:0.1115837:406.1739:0.002597085:-0.3499121:0.0009700815:0.9367784,219.1169:0.1115837:408.9374:0.002038598:0.4872483:-0.001137465:0.8732604,223.4755:0.1115839:396.552:0.001824877:0.2883679:-0.0005495835:0.9575178,239.0525:0.1115837:392.0285:0.001939276:0.0218627:-4.240804E-05:0.9997591
3.803,Terrain,185516,None,True,240.866:-0.004999995:422.3597:0:0.1651138:0:0.9862745,239.3045:-0.02999815:403.4954:-0.0006597561:0.04128239:2.725956E-05:0.9991473,238.1141:0.1115839:403.7122:0.003084145:0.07319303:-0.0002263461:0.997313,254.1505:0.1115837:406.1739:0.002621057:-0.3369059:0.0009378836:0.9415342,219.1169:0.1115837:408.9374:0.001991736:0.4872447:-0.001111307:0.8732625,223.4755:0.1115839:396.552:0.001791387:0.2921541:-0.0005472373:0.9563695,239.0525:0.1115837:392.0285:0.00191755:0.02985625:-5.72765E-05:0.9995524
3.875,Terrain,185516,None,True,241.2754:-0.004999995:422.5226:0:0.2494157:0:0.9683965,239.3047:-0.0299935:403.4958:-0.0006524316:0.05158097:3.369792E-05:0.9986686,238.1141:0.1115839:403.7122:0.003045432:0.08315485:-0.0002541238:0.996532,254.1505:0.1115837:406.1739:0.002646762:-0.3273933:0.0009170774:0.9448841,219.1169:0.1115837:408.9374:0.001956873:0.4885277:-0.00109563:0.8725455,223.4755:0.1115839:396.552:0.001768485:0.2959254:-0.0005478796:0.9552093,239.0525:0.1115837:392.0285:0.001905248:0.03637587:-6.935108E-05:0.9993364
3.945,Terrain,185516,None,True,241.8498:-0.004999936:422.6503:0:0.3520368:0:0.9359862,239.3047:-0.02999839:403.4964:-0.0006454696:0.06600274:4.269587E-05:0.9978192,238.1141:0.1115839:403.7122:0.003005473:0.09722409:-0.0002935966:0.995258,254.1505:0.1115837:406.1739:0.002690456:-0.3151797:0.000893522:0.9490278,219.1169:0.1115837:408.9374:0.001911926:0.4916688:-0.001079532:0.8707796,223.4755:0.1115839:396.552:0.001741078:0.3019291:-0.0005514173:0.9533287,239.0525:0.1115837:392.0285:0.001893734:0.04553347:-8.631794E-05:0.998961
